,name,category,artist,popularity,urls
626,Eat Your Young,neutral,Hozier,82,https://open.spotify.com/track/2Jw3VjB1xy5KHBqEeAC6VK
627,Something in the Orange,neutral,Zach Bryan,89,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI
628,VOID,neutral,Melanie Martinez,80,https://open.spotify.com/track/1QvvLc5UihfQ2nOxzhjuek
629,Always,neutral,Daniel Caesar,77,https://open.spotify.com/track/2LlOeW5rVcvl3QcPNPcDus
630,Heaven,neutral,Niall Horan,88,https://open.spotify.com/track/1yHVHoz6Ny29gbbWJYVnFt
631,Lavender Haze,neutral,Taylor Swift,89,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
632,Eyes Closed,neutral,Ed Sheeran,89,https://open.spotify.com/track/07bsRv0pcpbG4zJeLsUs1p
633,golden hour,neutral,JVKE,91,https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg
634,Unholy (feat. Kim Petras),neutral,"Sam Smith,Kim Petras",93,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
635,SLUT ME OUT,neutral,NLE Choppa,88,https://open.spotify.com/track/5BmB3OaQyYXCqRyN8iR2Yi
636,Here With Me,neutral,d4vd,95,https://open.spotify.com/track/78Sw5GDo6AlGwTwanjXbGh
637,Snooze,neutral,SZA,93,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2
638,HAPPY,neutral,NF,83,https://open.spotify.com/track/3ZEno9fORwMA1HPecdLi0R
